timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1687083703270,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,4,4,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,4
1687083703275,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703275,4,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,4,0,3
1687083703279,6,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,6,0,4
1687083703279,6,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,6,0,4
1687083703280,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703285,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703285,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703285,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703290,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703290,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703290,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703295,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703295,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703295,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,5
1687083703301,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703301,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703301,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703306,14,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,14,0,13
1687083703306,16,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,16,0,13
1687083703306,17,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,17,0,15
1687083703321,8,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,8,0,6
1687083703323,6,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,6,0,5
1687083703323,6,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,6,0,5
1687083703329,7,Get Products,200,,jp@gc - Ultimate Thread Group 1-10,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,7,0,6
1687083703329,7,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,7,0,6
1687083703329,7,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,7,0,6
1687083703337,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-6,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
1687083703337,5,Get Products,200,,jp@gc - Ultimate Thread Group 1-8,text,true,,1630,1358,5,5,https://localhost:8243/acme_pt/1.0.0/produtos,5,0,4
